Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Road Width,Road Type,Build Area,Posted,Amenities
"Newly Built House For Sale At Guheshwori : House For Sale In Guheshwori, Kathmandu","Nayabasti, planing, Guheshwori, Kathmandu",Kathmandu,28500000,8,3,3.0,1,North East,2073.0,684,0-4-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,5 months ago,"['Balcony', 'Garden', 'Drainage', 'Water Supply', 'Water Well', 'Electricity Backup', 'Parking']"
"Colony House For Rent : House For Rent In Godawari, Lalitpur","24, Godawari, Lalitpur",Lalitpur,35000,4,3,2.0,1,East,2019.0,1K,4 Aana,5 Meter / Paved,5 Meter , Paved,5 Aana,5 months ago,"['Lawn', 'Backyard', 'Balcony', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Solar Water', 'Electricity Backup', 'Water Tank', 'Water Supply']"
"Beautiful House Is On Sale At Tarkeshwor, Kathmndu : House For Sale In Tarkeshwor, Kathmandu","Tarkeshwor, Tarkeshwor, Kathmandu",Kathmandu,17000000,0,2,3.0,1,South,2017.0,151,3.1 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,3.2 Aana,2 months ago,['Parking']
"1.5 Storey House : House For Sale In Tikathali, Lalitpur","nearby Panityanki, Tikathali, Lalitpur",Lalitpur,11000000,2,1,1.5,2,West,2076.0,1.6K,0-2-3-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,646 Sq. Feet,2 months ago,"['Fencing', 'Drainage', 'Water Supply', 'Parking']"
"1.5 Storey House : House For Sale In Imadol, Lalitpur","Nearby Buddha party palace, Imadol, Lalitpur",Lalitpur,13000000,4,2,1.5,1,North East,2076.0,786,0-3-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,750 Aana,2 months ago,"['Drainage', 'Water Supply', 'Water Tank', 'Parking']"
"Naksal Apartment : Apartment For Sale In Hattisar, Kathmandu","Na, Hattisar, Kathmandu",Kathmandu,50000000,3,3,3.0,2,South,2070.0,1.6K,5 Ropani,20 Feet / Blacktopped,20 Feet , Blacktopped,1500 Sq. Feet,2 months ago,['Parking']
"House Sale At Pokhara Buspark, Chitwan : House For Sale In Bharatpur, Chitwan","Naranghat, Bharatpur, Chitwan",Chitwan,10500000,4,2,3.0,1,South,2009.0,461,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,4 Aana,2 months ago,"['Water Supply', 'Drainage', 'Water Tank']"
"New Residental House For Sale Near Grande Hospital : House For Sale In Tokha, Kathmandu","tokha road , saraswoti 3, Tokha, Kathmandu",Kathmandu,30000000,6,5,3.0,2,North,2019.0,434,5 Aana,14 Feet / Gravelled,14 Feet , Gravelled,3922.08 Sq. Feet,2 months ago,"['Parking', 'Water Tank', 'Solar Water', 'Water Supply', 'Drainage', 'Balcony']"
"HOUSE ON RENT AT SITAPAILA/RAMKOT AROUND CIVIL HOME HOUSING : House For Rent In Sitapaila, Kathmandu","Ramkot, Sitapaila, Kathmandu",Kathmandu,40000,4,3,3.0,1,South East,2020.0,439,1500 Sq. Feet,22 Feet / Gravelled,22 Feet , Gravelled,N/A Aana,2 months ago,"['Parking', 'Garage', 'Fencing', 'Balcony', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']"
"Brand New Bungalow. : House For Sale In Sanobharyang, Kathmandu","army medical college, Sanobharyang, Kathmandu",Kathmandu,40000000,0,0,2.5,1,North,2076.0,1.9K,0-5-0-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,5 months ago,"['Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Internet', 'Parking', 'Store Room']"
"1.5 Storey House : House For Sale In Tikathali, Lalitpur","Nearby, Buddha party palace, Tikathali, Lalitpur",Lalitpur,11500000,2,1,1.5,1,South,2076.0,902,0-2-3-2 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,3 months ago,"['Fencing', 'Drainage', 'Water Tank', 'Water Well', 'Parking']"
"Attractive Building : House For Lease In Bharatpur, Chitwan","Bharatpur-4, Bharatpur, Chitwan",Chitwan,80000,6,3,3.0,10,South,2019.0,456,2700 Sq. Feet,26 Feet / Blacktopped,26 Feet , Blacktopped,1600 Sq. Feet,3 months ago,"['Frontyard', 'Balcony', 'Water Supply', 'Drainage', 'Parking']"
"Flat At Rent - Near SaSa Restaurant : Flat For Rent In Machhegaun, Kirtipur","Kirtipur, Machhegaun, Kirtipur",Kirtipur,16000,2,1,3.0,1,North East,2019.0,271,0-4-1-0 Aana,13 Feet / Soil Stabilized,13 Feet , Soil Stabilized,0-3-7-0 Aana,3 months ago,['Balcony']
"Mitrapark Bungalow : House For Sale In Chabahil, Kathmandu","Na, Chabahil, Kathmandu",Kathmandu,49500000,5,5,3.0,2,East,2073.0,284,4.5 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,3 months ago,['Garage']
"Dhaneswor House For Sale : House For Sale In Baniyatar, Kathmandu","Na, Baniyatar, Kathmandu",Kathmandu,24000000,6,6,3.0,1,North East,2076.0,153,3.5 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,3 months ago,['Garage']
"Basundhara Semi Bungalow : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,45000000,6,6,3.0,4,South West,2072.0,268,8 Anand Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,3 months ago,"['Garage', 'Parking']"
"Basundhara Home : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,60000000,7,7,3.0,4,South,2066.0,265,10 ana Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,3 months ago,"['Garage', 'Parking']"
"Basundhara Beautiful Home : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,22500000,5,5,3.0,1,East,2075.0,237,2.5 Aana,14 Feet / Paved,14 Feet , Paved,N/A Aana,3 months ago,['Garage']
"Grandy Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,21000000,6,6,3.0,1,East,2074.0,550,3 Aana,13 Feet / Paved,13 Feet , Paved,N/A Aana,4 months ago,['Garage']
"Golfutar Height Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,100000000,6,6,3.0,5,East,2069.0,589,19 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,4 months ago,"['Garage', 'Balcony', 'Backyard', 'Frontyard', 'Garden', 'Fencing', 'Microwave', 'Modular Kitchen', 'Washing Machine', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank', 'Store Room', 'Parking', 'Security Staff', 'Kids Playground']"
"Grandy Tokhama Naya Ghar : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,33500000,6,6,3.0,1,South East,2076.0,87,4 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,4 months ago,"['Balcony', 'Drainage', 'Solar Water', 'Water Tank']"
"Baluwatar Family Bungalow : House For Sale In Baluwatar, Kathmandu","NA, Baluwatar, Kathmandu",Kathmandu,60000000,5,5,3.0,0,North East,2076.0,339,6 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,5 months ago,"['Garage', 'Parking', 'Water Supply', 'Solar Water', 'Water Tank', 'Modular Kitchen', 'Garden', 'Balcony', 'Air Condition']"
