Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Road Width,Road Type,Build Area,Posted,Amenities
"Grandy Gate Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,22500000,6,6,3.0,1,North East,2070.0,66,3.1 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,N/A Aana,1 month ago,['Parking']
"Shutters For Rent : Office Space For Rent In Koteshwor, Kathmandu","338/6, Koteshwor, Kathmandu",Kathmandu,24000,0,3,2.0,1,West,2052.0,719,13 Aana,0 Meter / Paved,0 Meter , Paved,6 Aana,7 months ago,"['Garage', 'Balcony', 'Water Well', 'Wifi', 'CCTV', 'Water Supply', 'TV Cable']"
"SAMAKHUSI HOME : House For Sale In Samakhusi, Kathmandu","Samakhusi, Samakhusi, Kathmandu",Kathmandu,44000000,5,6,3.0,1,East,2076.0,390,4 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,7 months ago,"['Water Tank', 'Water Supply', 'Solar Water', 'Drainage', 'Wifi', 'TV Cable']"
"Newly Constructed : House For Sale In Imadol, Lalitpur","Sital height, Imadol, Lalitpur",Lalitpur,22000000,7,4,3.5,2,South,2076.0,981,0-4-2-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,2700 Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']"
"House For Sale In Pepsicola, Kathmandu","Na, Pepsicola, Kathmandu",Kathmandu,58500000,6,6,3.0,2,East,2076.0,318,6.5 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage']"
"House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,18500000,4,3,2.5,1,East,2076.0,596,0-3-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Sq. Feet,1 month ago,"['Lawn', 'Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Water Tank', 'Store Room']"
"Newly Built House : House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,21000000,4,3,2.5,1,East,2076.0,466,0-3-2-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,112 Sq. Meter,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']"
"Baluwatar New Home : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,130000000,5,6,3.0,3,East,2074.0,566,10 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Frontyard', 'Fencing', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank']"
"Budhanilkantha Underconstruction : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,105000000,8,8,4.0,4,East,2076.0,96,21 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage']"
"Basundhara Bungalow For Sale : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,85000000,7,8,3.0,4,East,2067.0,672,14 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,4 months ago,"['Garage', 'Air Condition', 'Balcony', 'Frontyard', 'Garden', 'Modular Kitchen', 'Washing Machine', 'Drainage', 'Wifi', 'Solar Water', 'Water Supply', 'Water Tank', 'Water Well', 'Parking', 'Store Room']"
"Flat System House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,100000000,10,8,3.5,5,North,2017.0,110,0-12-3-2 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-9-3-2 Aana,4 days ago,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking']"
"Residential House Sale : House For Sale In Sukedhara, Kathmandu","Nearby Nilo Pool, Sukedhara, Kathmandu",Kathmandu,32500000,6,4,2.5,1,South East,2065.0,2.6K,0-4-0-0 Aana,12 Feet / Concrete,12 Feet , Concrete,2394 Aana,1 month ago,"['Balcony', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']"
"Beautiful House For Sale : House For Sale In Lekhnath, Pokhara","4, Lekhnath, Pokhara",Pokhara,32000000,4,5,3.0,3,South West,2075.0,922,14 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,7 Aana,3 weeks ago,"['Parking', 'Backyard']"
"House Sale In Budhanilkantha : House For Sale In Chapali, Kathmandu","Budhanilkantha, Chapali, Kathmandu",Kathmandu,39900000,5,4,3.0,1,North West,2075.0,592,0-4-2-0 Aana,14 Feet / Paved,14 Feet , Paved,2500 Aana,1 month ago,"['Parking', 'Balcony', 'Internet']"
"Budhanilkantha Mandir 1 Floor Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,15000000,2,2,1.0,1,South,2074.0,766,5 Aana,12 Feet / Gravelled,12 Feet , Gravelled,N/A Aana,1 month ago,['Parking']
"Newly Constructed House : House For Sale In Tikathali, Lalitpur","changathali, Tikathali, Lalitpur",Lalitpur,20000000,5,2,4.0,1,East,2076.0,988,0-4-0-0 Sq. Feet,15 Feet / Gravelled,15 Feet , Gravelled,0-4-0-0 Sq. Feet,3 months ago,"['Water Tank', 'Frontyard', 'Parking', 'Frontyard']"
"Budhanilkantha Taulung Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,55000000,5,6,3.0,4,South,2071.0,253,19 Aana,20 Feet / Gravelled,20 Feet , Gravelled,N/A Aana,1 month ago,"['Parking', 'Garden']"
"21 Aana Beautiful House : House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,80000000,5,3,2.0,9,East,2073.0,26,0-21-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-14-0-0 Aana,12 hours ago,"['Parking', 'Garage', 'Fencing', 'Frontyard', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']"
"Beautiful To Floor House : House For Sale In Dhapasi, Kathmandu","Dhapasi, Dhapasi, Kathmandu",Kathmandu,70000000,5,3,2.0,12,East,2071.0,154,1-1-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,10-1-0-0 Aana,2 days ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']"
"Modern Architecture Bungalow House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,130000000,6,4,3.0,9,West,2017.0,17,0-10-1-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-7-1-0 Aana,1 day ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Wifi', 'TV Cable']"
"Modern Bungalow House : House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,100000000,6,3,2.0,10,East,2070.0,59,0-19-2-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-14-2-0 Aana,2 days ago,"['Parking', 'Lawn', 'Garage', 'Balcony', 'Backyard', 'Frontyard', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Solar Water', 'Water Well']"
"Beautiful Bungalow House : House For Sale In Banasthali, Kathmandu","Banasthali, Banasthali, Kathmandu",Kathmandu,100000000,5,6,3.0,9,East,2074.0,92,0-12-3-1 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,0-8-3-1 Aana,3 days ago,"['Parking', 'Lawn', 'Garage', 'Balcony', 'Backyard', 'Frontyard', 'Fencing', 'Modular Kitchen', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Solar Water']"
"House For Sale @ Dadathok Lubhu Lalitpur : House For Sale In Lubhu, Lalitpur","Dadathok, Lubhu, Lalitpur",Lalitpur,11000000,3,4,3.0,1,South East,2019.0,317,3-1-1 Aana,11 Feet / Gravelled,11 Feet , Gravelled,N/A Aana,3 days ago,"['Parking', 'Balcony']"
"Modern House : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Kathmandu",Kathmandu,50000000,5,4,2.0,9,East,2073.0,618,0-8-5-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-6-5-0 Aana,3 days ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'TV Cable', 'Solar Water', 'Water Tank', 'Water Well']"
"Semi-Furnished House : House For Sale In Sitapaila, Kathmandu","Ramkot, Sitapaila, Kathmandu",Kathmandu,24000000,4,4,2.5,1,East,2075.0,510,0-4-0-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,2100 Sq. Feet,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']"
"Golfutar Height 19 Ana Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,102500000,6,6,3.0,4,East,2070.0,208,19 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Backyard', 'Balcony', 'Air Condition', 'Frontyard', 'Fencing', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Solar Water', 'Water Well']"
"House For Sale , Hepali Height : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,52500000,5,5,3.0,3,South East,2075.0,872,8 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Modular Kitchen', 'Microwave', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well']"
"Tokha Grandy Height Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,26500000,6,6,3.0,1,East,2076.0,1.1K,4 Aana,13 Feet / Paved,13 Feet , Paved,N/A Aana,1 month ago,['Parking']
"Sitapaila Modern Semi Bungalow : House For Sale In Sitapaila, Kathmandu","NA, Sitapaila, Kathmandu",Kathmandu,25500000,6,6,3.0,1,East,2076.0,1.6K,4 Aana,13 Feet / Gravelled,13 Feet , Gravelled,2700 Sq. Feet,1 month ago,['Parking']
"2.5 Storey : House For Sale In Narephate, Kathmandu","Nearby CCRC College, Narephate, Kathmandu",Kathmandu,33000000,6,4,2.5,1,East,2056.0,2.8K,0-6-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,2 months ago,"['Lawn', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']"
"House For Sale In Sipadol, Bhaktapur","Sipadol, Sipadol, Bhaktapur",Bhaktapur,20500000,7,3,3.0,1,East,2076.0,3.2K,0-3-2-0 Aana,10 Feet / Gravelled,10 Feet , Gravelled,2100 Sq. Feet,1 month ago,"['Lawn', 'Balcony', 'Fencing', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'CCTV', 'Internet', 'Parking', 'Store Room']"
"Office Space For Rent In Radhe Radhe, Bhaktapur","Nearby Bhatbhateni Super market, Radhe Radhe, Bhaktapur",Bhaktapur,50,0,2,3.5,2,West,2076.0,1.1K,2500 Sq. Feet,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Sq. Feet,4 months ago,"['Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']"
"Budanilkantha Golfutar Home : House For Sale In Budhanilkantha, Kathmandu","Golfutar, Budhanilkantha, Kathmandu",Kathmandu,30000000,10,8,4.0,2,South,2068.0,691,4 Aana,30 Feet / Blacktopped,30 Feet , Blacktopped,N/A Aana,7 months ago,"['TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water']"
"New Modern And Beautiful House : House For Sale In Thaiba, Lalitpur","Wasa hiti, Thaiba, Lalitpur",Lalitpur,19000000,4,4,3.0,2,East,2075.0,608,0-4-0-1 Aana,13 Feet / Gravelled,13 Feet , Gravelled,2500 Sq. Feet,7 months ago,"['Lawn', 'Garage', 'Fencing', 'Frontyard', 'Modular Kitchen', 'TV Cable', 'Solar Water', 'Water Supply', 'Water Well', 'Water Tank', 'Internet']"
"One Floor Home : House For Sale In Tarakeshwar, Kathmandu","Kavresthali, Tarakeshwar, Kathmandu",Kathmandu,12000000,1,1,1.0,1,North West,2076.0,490,0-2-2-3 Aana,10 Feet / Gravelled,10 Feet , Gravelled,0-2-2-3 Aana,7 months ago,"['Garage', 'Fencing', 'Frontyard', 'Wifi', 'Water Supply', 'Water Tank', 'Internet', 'Parking']"
"House For Rent In Minbhawan, Kathmandu","New Baneshwor, Minbhawan, Kathmandu",Kathmandu,80000,6,2,3.0,0,South,2062.0,298,0-5-3-0 Ropani,20 Feet / Blacktopped,20 Feet , Blacktopped,2500 Ropani,7 months ago,[]
"House On Sell @Dhapasi, Near By Grandi International Hospital. : House For Sale In Dhapasi, Kathmandu","Harihar Marg, Dhapasi, Dhapasi, Kathmandu",Kathmandu,40000000,8,4,3.0,5,South,2068.0,86,0-8-3-0 Sq. Feet,12 Feet / Concrete,12 Feet , Concrete,0-4-0-0 Aana,1 month ago,"['Parking', 'Water Supply', 'Solar Water', 'Water Tank', 'Store Room', 'Garden', 'Lawn', 'Balcony', 'TV Cable', 'Internet', 'Wifi', 'Modular Kitchen']"
"One And Half Storied : House For Sale In Imadol, Lalitpur","Nearby Cozy Homes, Imadol, Lalitpur",Lalitpur,12500000,2,1,1.0,1,West,2076.0,3.2K,0-3-0-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,N/A Sq. Feet,1 month ago,"['Lawn', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']"
"Naksal Maligau Home For Sale : House For Sale In Maligaon, Kathmandu","NA, Maligaon, Kathmandu",Kathmandu,65000000,6,6,3.0,4,East,2070.0,108,12 Aana,14 Feet / Gravelled,14 Feet , Gravelled,N/A Aana,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Microwave', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank']"
"Hattigauda 5 Ana Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,33000000,5,6,3.0,2,North,2070.0,150,5 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garden']"
"Golfutar Height Home : House For Sale In Budhanilkantha, Kathmandu","Man, Budhanilkantha, Kathmandu",Kathmandu,30500000,5,5,2.0,1,West,2070.0,112,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,1 month ago,['Parking']
"Mandikatar 1 Floor Home : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,14000000,2,2,1.0,1,South West,2076.0,1.7K,3.1 ana Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,1 month ago,['Parking']
"Jyotinagar Home For Sale : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,28000000,6,6,3.0,1,South East,2076.0,100,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,1 month ago,['Parking']
"Dhapasi Height Commercil Building : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,41000000,10,5,4.0,3,South East,2075.0,67,4 Aana,26 Feet / Blacktopped,26 Feet , Blacktopped,N/A Aana,1 month ago,['Parking']
"Sundar Basti Brand New Home 2 Homes : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,27000000,6,6,3.0,2,East,2076.0,161,4.5 Aana,14 Feet / Gravelled,14 Feet , Gravelled,N/A Aana,1 month ago,"['Parking', 'Garage']"
"Tokha Near Venas Housing Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,22000000,5,5,3.0,1,East,2076.0,139,3.1 Aana,13 Feet / Soil Stabilized,13 Feet , Soil Stabilized,N/A Aana,1 month ago,['Parking']
"8 Ana Home Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,37000000,5,5,3.0,3,South East,2071.0,168,8 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Frontyard', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank']"
"House For Sale In Baluwatar, Kathmandu","Chandol, Height, Baluwatar, Kathmandu",Kathmandu,46000000,4,3,2.5,1,South West,2074.0,5.6K,0-6-3-0 Aana,13 Feet / Concrete,13 Feet , Concrete,N/A Aana,1 month ago,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']"
"Newly Built : House For Sale In Imadol, Lalitpur","Sanagaun height, Imadol, Lalitpur",Lalitpur,19500000,4,3,2.5,1,North East,2076.0,166,0-3-2-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,750 Aana,1 month ago,"['Balcony', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']"
"House For Sale In Imadol, Lalitpur","Nearby, Buddha party palace, Imadol, Lalitpur",Lalitpur,19000000,4,3,2.5,1,South,2076.0,602,0-3-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,650 Sq. Feet,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Parking', 'Store Room']"
"House For Sale In Imadol, Lalitpur","Nearby, Buddha party palace, Imadol, Lalitpur",Lalitpur,18000000,4,3,2.5,1,South,2076.0,792,0-3-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,650 Sq. Feet,1 month ago,[]
"Brand New House For Sale In Swoyambhu/Swayambhu : House For Sale In Swayambhu, Kathmandu","Swoyambhu, Swayambhu, Kathmandu",Kathmandu,37000000,8,5,3.0,2,South,2077.0,136,0-5-1-3 Aana,12 Feet / Gravelled,12 Feet , Gravelled,990 Sq. Feet,1 month ago,"['Parking', 'Balcony', 'Drainage', 'Garden']"
"Brand New House For Sale In Swoyambhu/Swayambhu Near Bhagwan Pau : House For Sale In Swayambhu, Kathmandu","Swoyambhu, Swayambhu, Kathmandu",Kathmandu,34000000,6,3,3.0,1,South,2077.0,94,0-4-0-0 Aana,12 Feet / Gravelled,12 Feet , Gravelled,950 Sq. Feet,1 month ago,"['Parking', 'Balcony', 'Water Well', 'Water Tank', 'Drainage']"
"House On Sell @Tarkeshwar-09, Manamaiju, Basukinagtole : House For Sale In Manamaiju, Kathmandu","Basukinagtole, Manamaiju, Kathmandu, Manamaiju, Kathmandu",Kathmandu,26000000,8,4,3.0,1,South,2075.0,220,0-4-0-2 Aana,16 Feet / Gravelled,16 Feet , Gravelled,0-3-2-0 Aana,1 month ago,"['Parking', 'Balcony', 'Deck', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Water Supply', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet']"
"House For Sale In Kalanki, Kathmandu","Nearby L.R.I School., Kalanki, Kathmandu",Kathmandu,17000000,4,3,2.5,1,North West,2076.0,2.1K,0-4-0-0 Aana,10 Feet / Blacktopped,10 Feet , Blacktopped,1650 Sq. Feet,2 months ago,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']"
"1.5 Storied House : House For Sale In Imadol, Lalitpur","Opposite of Green hill city, Imadol, Lalitpur",Lalitpur,12500000,2,1,1.5,1,South,2076.0,917,0-3-1-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,2 months ago,"['TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Internet', 'Parking']"
"1.5 Storey House : House For Sale In Tikathali, Lalitpur","Nearby Pawan Pakriti School., Tikathali, Lalitpur",Lalitpur,12500000,2,1,1.5,1,South,2076.0,4.1K,0-3-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Sq. Feet,2 months ago,"['Drainage', 'Water Supply', 'Parking']"
"जोरपाटी माकलबारी सानो पुल नजिक : House For Sale In Jorpati, Kathmandu","jorpati makalbari near sano pool, Jorpati, Kathmandu",Kathmandu,21000000,5,3,3.0,1,South West,2076.0,173,0-3-2-0 Sq. Feet,12 Feet / Blacktopped,12 Feet , Blacktopped,0-3-1-2 Sq. Feet,1 month ago,"['Water Well', 'Solar Water', 'Garage', 'TV Cable', 'Parking', 'Electricity Backup', 'Store Room']"
"Attractive House For Sale In Ratnanagar, Chitwan : House For Sale In Ratnanagar, Chitwan","Jerauna, Ratnanagar, Chitwan",Chitwan,7700000,4,2,2.0,1,East,2017.0,677,6 Aana,16 Feet / Gravelled,16 Feet , Gravelled,4 Aana,1 month ago,"['Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Water Tank', 'Parking']"
"Residential House : House For Sale In Makalbari, Kathmandu","Sundar Tole, Makalbari, Kathmandu",Kathmandu,20000000,7,3,2.5,2,West,2067.0,5.1K,0-4-1-1 Aana,10 Feet / Gravelled,10 Feet , Gravelled,N/A Aana,1 month ago,"['Balcony', 'Fencing', 'Frontyard', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']"
"3.5 Storey : House For Sale In Sipadol, Bhaktapur","Darjeling Height, Sipadol, Bhaktapur",Bhaktapur,19000000,7,4,3.5,1,West,2076.0,6.2K,0-3-0-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,3500 Aana,5 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']"
"Residential : House For Sale In Kapan, Kathmandu","Payutar, Kapan, Kathmandu",Kathmandu,22000000,6,5,3.0,1,East,2016.0,359,5 Aana,14 Feet / Gravelled,14 Feet , Gravelled,4 Aana,7 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Internet', 'Water Well', 'Water Tank', 'Electricity Backup', 'Drainage', 'Garage']"
"House For Sale In Tikathali, Lalitpur","Tikathali, Tikathali, Lalitpur",Lalitpur,17000000,3,2,2.0,3,West,2019.0,309,0-4-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,127.18 Sq. Feet,7 months ago,['Water Supply']
"Budhanilkantha Bungalow : House For Rent In Budhanilkantha, Kathmandu","Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,550000,24,0,4.0,15,East,2076.0,1.1K,48 Aana,22 Feet / Blacktopped,22 Feet , Blacktopped,16 Aana,7 months ago,"['Drainage', 'Water Supply', 'Solar Water', 'Wifi', 'Washing Machine', 'TV Cable', 'Modular Kitchen', 'Frontyard', 'Garden', 'Microwave', 'Fencing', 'Garage', 'Air Condition', 'Lawn', 'Backyard', 'Balcony']"
"Hattigauda 9 Ana Home On Rent : House For Rent In Hattigauda, Kathmandu","Man, Hattigauda, Kathmandu",Kathmandu,75000,7,7,3.0,3,South,2070.0,252,9 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,1 month ago,['Parking']
"Residential : House For Sale In Imadol, Lalitpur","Ochu Height, Imadol, Lalitpur",Lalitpur,19000000,4,3,2.5,2,North West,2076.0,1.9K,0-3-2-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,1195 Sq. Feet,2 months ago,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']"
"One And Half Storied : House For Sale In Kadaghari, Kathmandu","Birendrachwok, Planning, Kadaghari, Kathmandu",Kathmandu,15500000,2,1,1.5,2,South West,2076.0,5.3K,0-4-0-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,N/A Aana,2 months ago,[]
"Magnificent New Bungalow For Sale At Budhanilkantha, Kathmandu : House For Sale In Budhanilkantha, Kathmandu","Park Village, Budhanilkantha, Kathmandu",Kathmandu,130000000,6,7,2.0,10,North,2017.0,1.5K,1-10-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,7 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Gym', 'Garden', 'Frontyard', 'Modular Kitchen', 'Swimming Pool', 'Wifi', 'Drainage', 'CCTV', 'Water Tank', 'Electricity Backup', 'Water Supply', 'Internet', 'Kids Playground']"
"Bhelpa House On Rent : House For Rent In Gwarko, Lalitpur","Balfal Bhelpa., Gwarko, Lalitpur",Lalitpur,45000,3,3,3.0,1,East,2076.0,410,0-2-2-0 Aana,16 Feet / Gravelled,16 Feet , Gravelled,0-2-2-0 Aana,7 months ago,"['Garage', 'Fencing', 'Drainage', 'Water Supply', 'Water Well']"
"House For Rent In Paknajol, Kathmandu","538 Paknajol Marg, Paknajol, Kathmandu",Kathmandu,300000,18,4,5.0,0,West,2045.0,429,0-4-0-0 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,0-3-2-0 Aana,4 months ago,"['Drainage', 'TV Cable', 'Water Supply', 'Internet']"
"Imadol Ko 20 Feet Ko Batoko Ghar Bikrima : House For Sale In Imadol, Lalitpur","imadol -4 lalitpur, Imadol, Lalitpur",Lalitpur,19000000,4,3,3.0,2,West,2076.0,869,0-3-1-0 Aana,0 Feet / Blacktopped,0 Feet , Blacktopped,N/A Aana,4 months ago,[]
"Fully Furnished House For Sale At Imadol, Sital Height : House For Sale In Imadol, Lalitpur","imadol, Imadol, Lalitpur",Lalitpur,23500000,4,4,3.0,1,West,2016.0,465,3.75 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,3 months ago,"['Solar Water', 'Water Well', 'Water Tank', 'Internet', 'Microwave', 'Garden', 'Garage', 'Balcony', 'Backyard', 'Modular Kitchen', 'Washing Machine', 'Wifi', 'Kids Playground']"
"Full Furnished House On Rent In Dhapasi Height, Near Grande Hospital : House For Rent In Dhapasi, Kathmandu","Dhapasi Height, Dhapasi, Kathmandu",Kathmandu,60000,4,3,3.0,1,South East,2010.0,247,10 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,3 Aana,3 months ago,"['Garage', 'Balcony', 'Backyard']"
